Branch | Updated | Check status | Behind/Ahead | Pull request
pap-2314-stale-queued-run-invalidation | 2026-04-27 | ⏳ pending | 402 behind, 13 ahead | none
pap-2318-security-role-regression | 2026-04-26 | ✅ pass | 418 behind, 80 ahead | none
pap-2318-security-route-coverage | 2026-04-27 | ✅ pass | 401 behind, 3 ahead | none
PAP-2339-secrets-make-a-plan | 2026-05-09 | ✅ pass | 305 behind, 59 ahead | none
PAP-2381-think-about-a-status-or-standup-feature | 2026-05-24 | ✅ pass | 219 behind, 20 ahead | https://github.com/paperclipai/paperclip/pull/6602
pap-2445-liveness-auto-recovery-controls | 2026-04-27 | ✅ pass | 402 behind, 2 ahead | none
pap-2445-subissue-progress-summary | 2026-04-27 | ✅ pass | 402 behind, 2 ahead | none
pap-2475-twitter-readme-link | 2026-04-27 | ✅ pass | 398 behind, 1 ahead | none
pap-2506-company-selection-stale-id | 2026-04-27 | ✅ pass | 395 behind, 4 ahead | none
pap-2506-company-skills-missing-company | 2026-04-27 | ✅ pass | 395 behind, 1 ahead | none
pap-2506-control-plane-recovery-defaults-v2 | 2026-04-27 | ✅ pass | 395 behind, 2 ahead | none
PAP-26-improve-paperclip-telemetry | 2026-06-17 | ✅ pass | 13 behind, 6 ahead | none
PAP-2837-plan-cheap-model-for-adapters-that-can-support-it | 2026-04-30 | ✅ pass | 374 behind, 9 ahead | none
PAP-2945-when-a-task-is-waiting-for-an-_external-service_-what-state-should-it-be-in-and-what-recovery-method-could-it-h | 2026-05-01 | ✅ pass | 358 behind, 9 ahead | none
PAP-3041-review-all-recover-stalled-issue-issues-for-the-last-week-or-so-and-categorize-them-what-things-stall | 2026-05-03 | ✅ pass | 356 behind, 11 ahead | none
PAP-3086-talk-to-me-about-the-process-where-we-do-productivity-followup-issues-and-comments-when-does-that-happen-and-wh | 2026-05-01 | ✅ pass | 367 behind, 2 ahead | none
pap-3154-live-runs-padding | 2026-05-01 | ✅ pass | 366 behind, 1 ahead | none
PAP-3180-convert-the-sidebar-into-this-kind-of-workspace-switcher | 2026-05-01 | ✅ pass | 358 behind, 1 ahead | none
PAP-3367-a-better-search-with-a-full-search-page | 2026-05-06 | ✅ pass | 320 behind, 19 ahead | none
PAP-3368-plan-a-planning-mode-for-issues | 2026-05-06 | ✅ pass | 318 behind, 12 ahead | none
pap-3474-docker-timeout | 2026-05-03 | ✅ merged | 339 behind, 0 ahead | none
pap-3474-tenant-identity-deploy | 2026-05-03 | ✅ merged | 342 behind, 0 ahead | none
PAP-3570-routines-need-revision-history-like-documents-already-have | 2026-05-05 | ✅ pass | 328 behind, 9 ahead | none
pap-3573-llm-wiki-plugin | 2026-05-04 | ✅ pass | 337 behind, 13 ahead | none
pap-3573-plugin-core-surface | 2026-05-04 | ✅ pass | 337 behind, 5 ahead | none
pap-3598/acpx-adapter-config | 2026-05-05 | ✅ pass | 336 behind, 5 ahead | none
pap-3598/control-plane-safety-identifiers | 2026-05-06 | ✅ pass | 317 behind, 6 ahead | none
pap-3598/operator-workflow-qol | 2026-05-06 | ✅ pass | 320 behind, 5 ahead | none
pap-3598/recovery-handoff-system-notices | 2026-05-05 | ✅ pass | 327 behind, 11 ahead | none
PAP-3631-agent-permissions-and-controls-plan | 2026-05-22 | ✅ pass | 229 behind, 30 ahead | none
PAP-438-review-openclaw-s-docs-on-networking-discovery-and-binding-what-could-we-learn-from-this | 2026-04-11 | ✅ merged | 517 behind, 0 ahead | none
PAP-46-nux-tweaks | 2026-06-11 | ✅ pass | 46 behind, 55 ahead | none
PAP-53-information-architecture | 2026-06-06 | ✅ pass | 102 behind, 37 ahead | none
PAP-61-add-nickyleach-to-codeowners | 2026-06-18 | ✅ pass | 1 behind, 1 ahead | none
PAP-64-fix-skills-catalog-lockfile | 2026-06-18 | ✅ pass | 1 behind, 1 ahead | https://github.com/paperclipai/paperclip/pull/8290
PAP-735-first-class-task-references | 2026-04-21 | ✅ pass | 448 behind, 11 ahead | none
PAP-806-telemetry-implementation-in-paperclip-plan | 2026-04-04 | ⏳ pending | 934 behind, 1 ahead | none
PAP-874-chat-speed-issues | 2026-04-01 | ✅ merged | 727 behind, 0 ahead | none
PAP-878-create-a-mine-tab-in-inbox | 2026-03-26 | ✅ merged | 1092 behind, 0 ahead | none
PAP-880-thumbs-capture-for-evals-feature-pr | 2026-04-03 | ⏳ pending | 946 behind, 1 ahead | none
PAP-881-document-revisions-bulid-it | 2026-03-31 | ✅ merged | 979 behind, 0 ahead | none
pap-9066-bookmarks-plugin | 2026-05-09 | ⏳ pending | 311 behind, 4 ahead | none
pap-9066-llm-wiki-plugin | 2026-05-09 | ⏳ pending | 314 behind, 10 ahead | none
PAP-9096-in-inbox-plan-a-blocked-tab-which-is-this-work-is-stopped-unless-you-deal-with-it | 2026-05-09 | ✅ pass | 273 behind, 6 ahead | none
PAP-9101-consider-recovery-issues-stalled-issues-missing-next-step-does-it-work-to-just-comment-on-the-issue-or-work-on- | 2026-05-10 | ✅ pass | 300 behind, 29 ahead | none
PAP-9111-plan-a-sidebar-section-component | 2026-05-09 | ✅ pass | 302 behind, 6 ahead | none
pap-9173-llm-wiki-plugin-only | 2026-05-10 | ✅ pass | 298 behind, 17 ahead | none
pap-9173-llm-wiki-rest | 2026-05-11 | ⏳ pending | 296 behind, 14 ahead | none
pap-9176-llm-wiki-plugin-master | 2026-05-11 | ✅ pass | 285 behind, 1 ahead | none
pap-9228-pr-5790-upload-interceptor | 2026-05-13 | ✅ pass | 275 behind, 18 ahead | none
pap-9228-replace-pr-5823-host-fixes | 2026-05-13 | ✅ pass | 274 behind, 3 ahead | none
pap-9229-replace-pr-5556 | 2026-05-12 | ✅ pass | 275 behind, 7 ahead | none
pap-9230-replace-pr-5558 | 2026-05-13 | ✅ pass | 275 behind, 9 ahead | none
pap-9231-replace-pr-5565 | 2026-05-12 | ✅ pass | 274 behind, 128 ahead | none
pap-9232-replace-pr-5576 | 2026-05-12 | ✅ pass | 274 behind, 156 ahead | none
pap-9233-replace-pr-5584 | 2026-05-12 | ✅ pass | 275 behind, 5 ahead | none
pap-9234-replace-pr-5647 | 2026-05-13 | ✅ pass | 274 behind, 81 ahead | none
PAP-9235-need-to-fix-the-build-because-the-llm-wiki-plugin-isn-t-merged-yet | 2026-05-11 | ✅ pass | 290 behind, 1 ahead | none
pap-9241-revert-pr-3569 | 2026-05-11 | ✅ pass | 284 behind, 1 ahead | none
pap-9241-revert-pr-5703 | 2026-05-11 | ✅ pass | 285 behind, 1 ahead | none
pap-9248-fix-llm-wiki-type-errors | 2026-05-11 | ✅ pass | 279 behind, 1 ahead | none
PAP-9259-plugins-in-development-how | 2026-05-12 | ✅ pass | 275 behind, 10 ahead | none
pap-9275-single-pr | 2026-05-12 | ✅ pass | 274 behind, 7 ahead | none
PAP-9277-pagination-for-ordered-subissues | 2026-05-13 | ✅ pass | 273 behind, 4 ahead | none
PAP-9308-i18n-smallest-possible-verison | 2026-05-14 | ✅ pass | 261 behind, 6 ahead | none
pap-9333-date-binding | 2026-05-13 | ✅ pass | 274 behind, 1 ahead | none
pap-9350-kubernetes-master-pr | 2026-05-13 | ✅ pass | 271 behind, 19 ahead | none
PAP-9380-company-export-is-broken | 2026-05-13 | ✅ pass | 269 behind, 2 ahead | none
PAP-9402-highlighting-and-comments-on-documents-feasible-with-our-editor-or-do-we-need-something-else | 2026-05-26 | ✅ pass | 216 behind, 17 ahead | none
PAP-9403-when-documents-are-updated-on-an-issue-don-t-require-a-page-reload-it-should-update-automagically-or-at-least-s | 2026-05-14 | ✅ pass | 267 behind, 3 ahead | none
PAP-9405-add-document-locking | 2026-05-14 | ✅ pass | 267 behind, 2 ahead | none
PAP-9406-diff-viewer-we-had-a-bookmark-about-a-diff-viewer-that-i-think-would-work-in-react | 2026-05-18 | ✅ pass | 258 behind, 35 ahead | none
PAP-9419-fix-these-bugs-for-llm-wiki | 2026-05-15 | ✅ pass | 267 behind, 3 ahead | none
PAP-9452-ensure-chinese-and-hindi-actually-work-in-paperclip | 2026-05-15 | ✅ pass | 259 behind, 2 ahead | none
PAP-9453-i18n-all-languages | 2026-05-15 | ✅ pass | 259 behind, 2 ahead | none
PAP-9487-routine-secrets | 2026-05-17 | ✅ pass | 250 behind, 6 ahead | none
pap-9515-release-changelog-2026-517-0 | 2026-05-16 | ✅ pass | 253 behind, 1 ahead | none
PAP-9517-why-did-we-get-liveness-incident-separate-issues-for-this-why-are-we-still-getting-unblock-liveness-incident-se | 2026-05-16 | ✅ pass | 250 behind, 6 ahead | https://github.com/paperclipai/paperclip/pull/6155
PAP-9681-make-sure-the-plugin-authoring-guide-is-up-to-date | 2026-05-18 | ✅ pass | 244 behind, 5 ahead | none
pap-9691-remove-planning-badge | 2026-05-18 | ✅ pass | 244 behind, 2 ahead | none
PAP-9718-senior-planning-engineer-pro-had-hard-api-billing-costs-but-costs-doesn-t-show-them-figure-it-out | 2026-05-19 | ✅ pass | 234 behind, 6 ahead | none
PAP-9748-can-t-click-on-completions-in-new-issue | 2026-05-18 | ✅ pass | 239 behind, 1 ahead | none
pap-979-board-ux | 2026-03-30 | ✅ merged | 1053 behind, 0 ahead | none
pap-979-cli-onboarding | 2026-03-30 | ✅ merged | 1077 behind, 0 ahead | none
pap-979-commit-metrics | 2026-03-30 | ✅ merged | 1078 behind, 0 ahead | none
pap-979-runtime-workspaces | 2026-03-30 | ✅ merged | 1009 behind, 0 ahead | none
PAP-9815-triage-plugin | 2026-05-23 | ⏳ pending | 239 behind, 11 ahead | none
PAP-9825-retry-shouldn-t-use-the-cheap-model-to-_do-the-work | 2026-05-19 | ✅ pass | 235 behind, 5 ahead | none
pap-9834-body-limit | 2026-05-19 | ⏳ pending | 235 behind, 1 ahead | none
pap-9861-cloud-upstream-sync | 2026-05-20 | ✅ pass | 230 behind, 21 ahead | https://github.com/paperclipai/paperclip/pull/6382
pap-9861-provider-vault-secrets | 2026-05-19 | ✅ pass | 234 behind, 4 ahead | none
pap-9861-runtime-control-plane-fixes | 2026-05-19 | ✅ pass | 234 behind, 18 ahead | none
pap-9861-ui-dev-qol | 2026-05-19 | ✅ pass | 234 behind, 9 ahead | none
pap-9861-workspace-diff-polish | 2026-05-19 | ✅ pass | 234 behind, 6 ahead | none
PAP-987-pr-1001-vite-hmr | 2026-03-30 | ✅ merged | 1079 behind, 0 ahead | none
PAP-989-multi-user-implementation-using-plan-from-pap-958 | 2026-04-16 | ✅ pass | 473 behind, 133 ahead | none
PAP-9940-what-can-we-learn-from-rough-draft | 2026-05-23 | ⏳ pending | 233 behind, 1 ahead | none
PAPA-190-investigate-ci-issue | 2026-05-09 | ✅ pass | 298 behind, 8 ahead | none
PAPA-205-fix-ci-failure | 2026-04-30 | ✅ pass | 369 behind, 3 ahead | none
PAPA-229-make-our-ci-faster | 2026-05-03 | ✅ pass | 357 behind, 9 ahead | none
PAPA-238-keep-this-ci-issue-from-happening-again | 2026-05-03 | ✅ pass | 357 behind, 10 ahead | none
PAPA-316-run-qa-matrix-on-exe-dev-and-ssh | 2026-05-11 | ✅ pass | 283 behind, 4 ahead | none
PAPA-333-run-qa-matrix-on-sandbox-and-ssh | 2026-05-14 | ✅ pass | 268 behind, 3 ahead | none
PAPA-335-speed-up-ci | 2026-05-16 | ✅ pass | 255 behind, 6 ahead | none
PAPA-341-create-grok-build-adapter | 2026-05-15 | ✅ pass | 258 behind, 9 ahead | none
PAPA-407-exe-dev-config-page-is-inscrutable | 2026-05-29 | ⏳ pending | 219 behind, 6 ahead | none
PAPA-40-copying-agent-root-path-is-failing | 2026-04-01 | ✅ pass | 964 behind, 3 ahead | none
PAPA-415-duplicate-subtasks | 2026-05-28 | ✅ pass | 210 behind, 14 ahead | none
PAPA-41-add-package-files-to-codeowners | 2026-04-01 | ✅ pass | 964 behind, 2 ahead | none
PAPA-42-add-model-used-to-pr-template-and-checklist | 2026-04-02 | ✅ merged | 963 behind, 0 ahead | none
PAPA-430-analyze-this-task-and-tell-me-everything-it-did | 2026-05-29 | ✅ pass | 208 behind, 11 ahead | none
PAPA-439-update-readme-md-to-follow-our-brand-guidelines | 2026-05-27 | ✅ pass | 213 behind, 1 ahead | none
PAPA-43-make-inline-markdown-editor-for-agents-md-and-other-agent-files-monospace-type | 2026-04-02 | ✅ pass | 964 behind, 3 ahead | none
PAPA-44-autoformat-pasted-markdown-in-inline-editor | 2026-04-04 | ✅ pass | 899 behind, 3 ahead | none
PAPA-45-update-contributing-md-to-reference-pull_request_template-md-greptile-and-tests | 2026-04-02 | ✅ pass | 918 behind, 2 ahead | none
PAPA-46-why-did-this-issue-succeed-without-following-my-instructions | 2026-04-04 | ✅ merged | 961 behind, 0 ahead | none
PAPA-473-instapp-workspace-diff | 2026-06-17 | ✅ pass | 7 behind, 1 ahead | none
PAPA-47-fix-this-visual-bug | 2026-04-02 | ✅ pass | 964 behind, 3 ahead | none
PAPA-493-remove-issue-requirement-from-checks-in-github | 2026-06-02 | ✅ pass | 172 behind, 1 ahead | none
PAPA-516-audit-zero-human-companies-in-repo | 2026-06-04 | ✅ pass | 132 behind, 2 ahead | none
PAPA-517-update-contributing-md | 2026-06-04 | ✅ pass | 134 behind, 1 ahead | none
PAPA-521-create-new-issue-templates | 2026-06-04 | ⏳ pending | 146 behind, 1 ahead | none
PAPA-521-issue-templates-followup | 2026-06-05 | ✅ pass | 103 behind, 1 ahead | none
PAPA-522-revert-dependabot-grouping | 2026-06-04 | ✅ pass | 146 behind, 1 ahead | none
PAPA-530-ci-pr-lockfile-artifact | 2026-06-05 | ✅ pass | 107 behind, 1 ahead | none
PAPA-530-fix-this-vitest-bump-pr | 2026-06-04 | ✅ pass | 106 behind, 1 ahead | none
PAPA-532-make-commitperclip-follow-new-rules | 2026-06-05 | ✅ pass | 104 behind, 1 ahead | none
PAPA-63-typing-lag | 2026-04-08 | ✅ pass | 802 behind, 5 ahead | none
PAPA-63-typing-lag-v2 | 2026-04-08 | ✅ pass | 636 behind, 8 ahead | none
PAPA-722-fix-this-pr | 2026-06-06 | ✅ pass | 90 behind, 1 ahead | none
PAPA-72-revision-ordering-fix | 2026-04-10 | ✅ pass | 539 behind, 4 ahead | none
PAPA-732-pr-triage-cleanup-cluster-4-take-2 | 2026-06-09 | ✅ pass | 78 behind, 1 ahead | none
PAPA-734-fix-default-codex-model | 2026-06-10 | ✅ pass | 54 behind, 1 ahead | none
PAPA-771-detect-markdown-escaped-routine-variables | 2026-06-12 | ✅ pass | 24 behind, 1 ahead | none
PAPA-771-fix-example-for-variable_name | 2026-06-12 | ✅ pass | 24 behind, 1 ahead | none
PAPA-783-managed-sandbox-dedup | 2026-06-17 | ✅ pass | 11 behind, 1 ahead | none
PAPA-784-investigate-security-concern | 2026-06-17 | ✅ pass | 6 behind, 1 ahead | none
PAPA-788-what-are-the-and-next-to-company-skills | 2026-06-18 | ✅ pass | 6 behind, 7 ahead | none
paperclip-better-onboarding | 2026-03-12 | ✅ merged | 1869 behind, 0 ahead | none
paperclip-company-import-export | 2026-04-16 | ⏳ pending | 1310 behind, 1 ahead | none
paperclip-dev-skill | 2026-04-19 | ✅ pass | 474 behind, 6 ahead | none
paperclip_instance_sidebar | 2026-03-12 | ✅ merged | 1883 behind, 0 ahead | none
paperclip_instance_sidebar_v2 | 2026-03-12 | ✅ merged | 1882 behind, 0 ahead | none
paperclip-issue-documents | 2026-03-14 | ✅ merged | 1785 behind, 0 ahead | none
paperclip-nicer-runlogs-formats | 2026-03-11 | ✅ merged | 1936 behind, 0 ahead | none
paperclip-pap-10614-revert-pr-7678 | 2026-06-08 | ✅ pass | 80 behind, 3 ahead | none
paperclip-pap-10727-canary-publish | 2026-06-09 | ✅ pass | 75 behind, 2 ahead | none
paperclip-routines | 2026-03-20 | ✅ merged | 1325 behind, 0 ahead | none
paperclip-subissues | 2026-03-17 | ✅ merged | 1610 behind, 0 ahead | none
paperclip-token-optimization | 2026-03-13 | ✅ merged | 1823 behind, 0 ahead | none
paperclip-worktree-dynamics | 2026-03-16 | ⏳ pending | 1709 behind, 2 ahead | none
pap-feedback-trace-export-fixes | 2026-04-03 | ⏳ pending | 900 behind, 1 ahead | none
pr-255 | 2026-03-14 | ✅ pass | 1733 behind, 12 ahead | none
pr/master-pre-rebind-recovery | 2026-04-04 | ✅ merged | 854 behind, 0 ahead | none
pr/pap-768-board-cli-auth | 2026-03-23 | ✅ merged | 1274 behind, 0 ahead | none
pr/pap-768-company-import-safe-imports | 2026-03-23 | ✅ merged | 1281 behind, 0 ahead | none
pr/pap-768-merge-history | 2026-03-21 | ✅ merged | 1284 behind, 0 ahead | none
pr/pap-795-agent-runtime | 2026-03-23 | ✅ merged | 1244 behind, 0 ahead | none
pr/pap-795-company-portability | 2026-03-23 | ✅ merged | 1237 behind, 0 ahead | none
pr/pap-795-ui-polish | 2026-03-23 | ✅ merged | 1238 behind, 0 ahead | none
pr/pap-803-agent-instructions-tab-reset | 2026-03-23 | ✅ merged | 1195 behind, 0 ahead | none
pr/pap-803-imported-agent-frontmatter | 2026-03-23 | ✅ merged | 1195 behind, 0 ahead | none
pr/pap-803-mention-aware-link-node | 2026-03-23 | ✅ merged | 1196 behind, 0 ahead | none
pr/pap-817-agent-mention-pill-alignment | 2026-03-24 | ✅ merged | 1183 behind, 0 ahead | none
pr/pap-817-cli-api-connection-errors | 2026-03-24 | ✅ merged | 1183 behind, 0 ahead | none
pr/pap-817-embedded-postgres-docker-initdb | 2026-03-24 | ✅ merged | 1180 behind, 0 ahead | none
pr/pap-817-inline-join-requests-inbox | 2026-03-24 | ✅ merged | 1183 behind, 0 ahead | none
pr/pap-817-join-request-task-assignment-grants | 2026-03-24 | ✅ merged | 1183 behind, 0 ahead | none
pr/pap-817-onboarding-goal-context | 2026-03-24 | ✅ merged | 1183 behind, 0 ahead | none
pr/pap-817-remove-instructions-log | 2026-03-24 | ✅ merged | 1183 behind, 0 ahead | none
pr/pap-849-release-changelog | 2026-03-25 | ✅ merged | 1146 behind, 0 ahead | none
pr/pap-891-docs-refresh | 2026-03-26 | ✅ merged | 1124 behind, 0 ahead | none
pr/pap-891-opencode-headless-prompts | 2026-03-26 | ✅ merged | 1127 behind, 0 ahead | none
pr/pap-891-release-automation-followups | 2026-03-25 | ✅ merged | 1127 behind, 0 ahead | none
pr/pap-891-ui-polish | 2026-03-26 | ✅ merged | 1123 behind, 0 ahead | none
pr/pap-891-worktree-reliability | 2026-03-26 | ✅ merged | 1121 behind, 0 ahead | none
public/inbox-runs-worktree-history | 2026-03-11 | ✅ merged | 1950 behind, 0 ahead | none
public/worktree-pnpm-install | 2026-03-11 | ✅ merged | 1948 behind, 0 ahead | none
qa/pap-10501-pr7668-screenshots | 2026-06-06 | ⏳ pending | 93 behind, 8 ahead | none
qa/pap-10753-routine-screenshots-1781046736 | 2026-06-09 | ⏳ pending | 69 behind, 6 ahead | none
qa/screenshots | 2026-06-09 | ⏳ pending | 78 behind, 4 ahead | none
release/0.3.0 | 2026-03-09 | ✅ merged | 2018 behind, 0 ahead | none
release/0.3.1 | 2026-03-12 | ✅ merged | 1853 behind, 0 ahead | none
release-automation-calver | 2026-03-17 | ✅ merged | 1598 behind, 0 ahead | none
release-automation-followups | 2026-03-17 | ⏳ pending | 1593 behind, 1 ahead | none
release-automation-followups-docker-smoke | 2026-03-18 | ✅ pass | 1585 behind, 12 ahead | none
release-note-2026-318-0 | 2026-03-18 | ✅ merged | 1568 behind, 0 ahead | none
release/v2026.410.0 | 2026-04-13 | ⏳ pending | 544 behind, 1 ahead | none
release-v2026.416.0 | 2026-04-15 | ✅ pass | 475 behind, 1 ahead | none
release-v2026.427.0-notes | 2026-04-27 | ✅ pass | 397 behind, 2 ahead | none
release-v2026.428.0-notes | 2026-04-28 | ✅ pass | 385 behind, 1 ahead | none
release/v2026.506.0 | 2026-05-10 | ✅ pass | 293 behind, 1 ahead | none
release/v2026.512.0 | 2026-05-11 | ✅ pass | 278 behind, 1 ahead | none
release/v2026.513.0 | 2026-05-13 | ✅ pass | 270 behind, 1 ahead | none
release/v2026.525.0 | 2026-05-25 | ✅ pass | 218 behind, 1 ahead | none
release/v2026.529.0 | 2026-05-29 | ✅ pass | 206 behind, 1 ahead | none
release/v2026.609.0 | 2026-06-09 | ✅ pass | 76 behind, 1 ahead | none
release/v2026.618.0 | 2026-06-18 | ✅ pass | 6 behind, 3 ahead | none
revert-5455-PAPA-278-reverse-comment-order-on-issues | 2026-05-07 | ✅ pass | 306 behind, 1 ahead | none
revert-7423-PAPA-493-remove-issue-requirement-from-checks-in-github | 2026-06-02 | ✅ pass | 170 behind, 1 ahead | none
revert-pr-707 | 2026-03-12 | ✅ merged | 1856 behind, 0 ahead | none
security-fix-20260410 | 2026-04-10 | ✅ pass | 547 behind, 1 ahead | none
skill/release-changelog-discord-message | 2026-05-16 | ✅ pass | 252 behind, 1 ahead | none
skill/update-paperclip-skill-md | 2026-03-11 | ✅ merged | 1948 behind, 0 ahead | none
snyk-fix-6c31adabb9b72b763a4304bdade1ff94 | 2026-06-04 | ✅ pass | 164 behind, 1 ahead | none
split/agent-skill-resolution | 2026-03-12 | ✅ merged | 1843 behind, 0 ahead | none
split/docs-sidebar-link | 2026-03-12 | ✅ merged | 1845 behind, 0 ahead | none
split/release-smoke-calver | 2026-03-18 | ✅ merged | 1583 behind, 0 ahead | none
split/ui-onboarding-inbox-agent-details | 2026-03-18 | ✅ merged | 1576 behind, 0 ahead | none
sync/master-local-delta-2026-04-15 | 2026-04-15 | ⏳ pending | 476 behind, 1 ahead | none
sync/master-post-pap1497-followups-2026-04-15 | 2026-04-15 | ✅ pass | 476 behind, 6 ahead | none
